COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
501,20240205,S,874,571,487,551,1195,3623,7182,8034,7881,7328,7027,7364,7571,7623,8626,8843,8766,8268,7053,4904,3847,3103,2599,2552,2/5/2024
501,20240206,P,697,433,375,598,1252,3871,7747,8579,7932,7837,7408,5727,6667,6068,5293,5204,4907,4512,5894,5159,4011,3204,2046,1054,2/6/2024
501,20240206,S,831,526,444,514,1322,4063,7936,8216,8430,7933,6860,7463,7899,8067,8630,8967,8406,8070,7442,5551,4422,3523,2351,1289,2/6/2024
501,20240207,P,618,441,362,653,1253,3998,7714,8452,8029,7638,7323,7369,7571,7661,6551,5447,4719,5000,6163,5364,4247,3502,2239,1180,2/7/2024
501,20240207,S,782,480,421,562,1227,4200,8081,8390,7978,7946,7825,7975,8003,8422,8928,8966,8543,8401,7748,5862,4860,4075,2533,1488,2/7/2024
501,20240208,P,717,495,432,621,1338,3909,7596,8553,8281,7625,7633,7095,7513,6882,6098,5476,4517,4718,5790,5493,4513,3696,2523,1361,2/8/2024
501,20240208,S,861,601,506,522,1282,4128,7819,8733,8224,7866,7560,7951,8156,8457,8927,8870,8152,7827,7630,5976,5242,4247,3005,2059,2/8/2024
501,20240209,P,762,555,512,674,1252,3593,6722,7050,7243,7117,7293,6819,7039,6857,6367,5139,5211,6201,7042,5744,4654,4084,2977,2196,2/9/2024
501,20240209,S,1175,766,706,608,1240,3710,7157,8201,7292,7463,7551,7959,8073,8171,8704,8902,8723,8059,7396,5908,5373,5499,3769,2668,2/9/2024
501,20240210,P,1325,908,750,625,784,1965,2266,2879,3819,4552,5504,6049,5992,5289,5800,6490,6088,5685,4229,4114,3512,3260,2545,1843,2/10/2024
501,20240210,S,1643,1326,1005,628,724,1073,1856,3071,3970,4963,5902,6321,6586,6741,6934,7786,6980,6445,4692,4517,4004,4258,3475,2603,2/10/2024
501,20240211,P,1262,911,747,562,620,1365,2160,2303,3172,4770,5983,6939,6922,6713,7104,6878,5787,4112,3616,3728,3020,7002,2925,1258,2/11/2024
501,20240211,S,1581,1397,1308,683,586,902,1394,2050,3111,4812,6340,7247,7388,7666,8688,8725,7500,4944,4329,4001,3310,7059,3367,1637,2/11/2024
501,20240212,P,697,481,443,628,1165,3636,7150,8071,7878,7329,6993,7178,6979,7079,6928,5926,5612,5972,4920,4511,3774,2842,1722,994,2/12/2024
501,20240212,S,1048,661,549,570,1198,3799,7456,8586,7764,7102,7279,7422,7651,7872,8446,8818,8575,7844,7026,4945,4005,3110,1965,1271,2/12/2024
501,20240213,P,541,423,394,624,1199,4010,7695,8319,7981,7111,7491,7385,7669,7320,6831,5609,4829,3898,6133,5654,4228,3616,2200,1258,2/13/2024
501,20240213,S,740,512,456,526,1281,4119,7963,8198,7987,7770,7514,7623,7990,8215,7694,8725,7667,7109,7572,6071,5029,4087,3221,2867,2/13/2024
501,20240214,P,689,474,408,625,1224,3918,7715,8210,8029,7622,7606,7064,7315,6889,6444,5285,4622,5424,6665,5729,4370,3702,2631,1617,2/14/2024
501,20240214,S,1004,550,528,561,1274,4247,8059,8665,8135,7522,7193,7792,8384,8511,8876,8615,7928,7721,7333,6053,5104,5898,3855,2104,2/14/2024
501,20240215,P,934,572,466,664,1285,4001,7580,8216,8038,7966,7528,7016,7513,7207,6548,5102,4677,5399,6486,5756,4745,3824,2364,1436,2/15/2024
501,20240215,S,1130,690,593,633,1323,4138,7896,8879,8186,7750,7736,7934,8112,8396,8955,8830,7836,7993,7867,6217,5085,4885,2988,1839,2/15/2024
501,20240216,P,821,523,451,642,1149,3459,6454,6444,7385,7302,6513,6039,7111,6727,5939,4788,4440,4989,5023,4655,3148,2653,2096,1420,2/16/2024
501,20240216,S,1126,737,629,580,1173,3587,6569,7840,7682,7687,7688,8289,8390,8529,8287,7860,7024,6499,5926,4500,4122,3807,3103,2314,2/16/2024
501,20240217,P,875,705,570,519,701,1716,2262,2854,4068,5803,6779,7389,7374,7358,6829,6825,7546,7137,6699,5899,4991,4306,3427,2662,2/17/2024
501,20240217,S,1361,1130,881,609,645,1002,1884,2947,4127,5750,6621,7588,7865,8058,8016,8168,7953,7437,7392,6506,5443,5492,4682,3158,2/17/2024
501,20240218,P,1596,1169,970,589,607,1279,1976,2558,3722,5442,6730,7332,7933,6824,8107,6438,6643,6666,5919,4847,3858,3126,2043,1232,2/18/2024
501,20240218,S,2281,1776,1399,755,656,937,1433,2218,3637,5335,7008,7976,7286,7365,8064,8226,8343,7520,6760,7215,4304,3680,2510,1616,2/18/2024
501,20240219,P,719,503,453,613,1111,3404,6492,7455,7209,7313,7323,6890,6877,5119,6633,5498,5549,5912,6050,4708,3692,2785,1693,1050,2/19/2024
501,20240219,S,1001,770,530,484,1162,3688,7068,7795,7513,7224,7564,8130,8265,8034,8569,8610,8457,8261,7017,5181,3960,3117,1987,1250,2/19/2024
501,20240220,P,570,401,380,626,1299,3951,7746,8096,8027,7766,7386,7199,6885,7080,6407,5410,5213,5038,6188,1932,3888,3323,2019,1141,2/20/2024
501,20240220,S,733,472,485,526,1252,4188,8098,8260,7780,7781,7884,7883,7820,8344,8764,8955,8642,8486,7756,5205,4700,5087,3718,1479,2/20/2024
501,20240221,P,712,455,440,609,1315,4111,8058,8397,7742,7706,7735,7651,7093,7433,6401,5333,4504,4938,5698,6162,4684,3489,2234,1348,2/21/2024
501,20240221,S,851,553,496,581,1310,4169,8125,8443,7881,7847,7884,7898,8073,8362,8761,7779,7709,8135,7697,5993,5261,4405,2693,1601,2/21/2024
501,20240222,P,714,546,470,616,1318,3998,7626,8537,8047,7312,7415,7444,7353,7469,4722,5140,4693,5519,7058,5747,4612,3914,2468,1415,2/22/2024
501,20240222,S,879,578,514,573,1269,4297,7965,8355,7532,7529,7674,7691,8351,8476,8921,9071,7954,7401,7689,6079,5141,6028,3176,1872,2/22/2024
501,20240223,P,770,625,531,632,1245,3649,6833,7292,7367,6822,7259,7372,7016,6687,6244,5288,4432,5343,6234,6276,5081,4576,3726,2581,2/23/2024
501,20240223,S,1173,838,687,624,1250,3862,7429,8302,8049,7734,7776,8212,8157,8356,8661,8645,8195,8182,7638,6621,5216,5522,4776,2980,2/23/2024
501,20240224,P,1380,993,787,599,776,2168,2980,4045,5771,6865,7146,7288,7503,7376,7248,7496,7467,7546,7124,6245,4985,5027,3776,2735,2/24/2024
501,20240224,S,2108,1629,1213,694,744,1288,2551,4316,5811,7285,7902,8332,8426,8551,8487,8578,8550,8373,7641,7391,7016,5914,4924,3375,2/24/2024
501,20240225,P,2114,1201,1002,644,660,1471,2554,3016,3992,5925,6797,7399,7440,7313,7336,7218,7340,6661,6280,5154,3913,3007,2193,1199,2/25/2024
501,20240225,S,2295,2108,1602,829,662,909,1612,2595,3894,5791,7507,8084,8409,8155,8035,8789,8327,7880,6920,5799,4401,3675,2666,1849,2/25/2024
501,20240226,P,751,510,422,680,1291,3818,7605,8506,8028,7807,7172,7416,7231,7248,7087,5632,5251,5630,6072,5054,3662,2798,1799,1004,2/26/2024
501,20240226,S,962,728,552,523,1133,3784,7477,8523,7954,7582,7426,7475,7969,7901,8692,8823,8605,8245,7200,5239,4225,3062,2203,1440,2/26/2024
501,20240227,P,638,479,386,613,1345,4008,7932,8717,7206,5573,6263,6330,6727,6959,7245,6408,6104,6488,7219,5197,3822,2993,2146,1158,2/27/2024
501,20240227,S,837,569,512,579,1200,3978,7706,8808,7148,5699,6184,6948,7023,7154,8417,8940,8977,8474,7321,5454,4404,3915,4684,1710,2/27/2024
501,20240228,P,644,422,370,585,1300,3962,7670,7784,8215,7345,7512,7826,7293,6760,6281,5237,4177,4743,6189,5740,4449,3687,2306,1222,2/28/2024
501,20240228,S,867,534,535,493,1201,3817,7799,8672,8011,7765,7728,7603,7888,7974,8689,8620,8164,7736,7752,6138,5217,5982,3246,1895,2/28/2024
501,20240229,P,760,564,445,607,1262,4028,7946,7791,8180,7728,7365,7686,7135,6514,5894,5327,4823,5197,6333,6438,4940,3980,2667,1493,2/29/2024
501,20240229,S,1060,651,563,561,1182,3872,7976,8466,7987,7452,7816,7826,8272,8191,8554,7387,7712,7196,6974,7019,5262,4502,4821,3206,2/29/2024
501,20240301,P,891,602,603,659,1207,3742,7094,7476,7144,7495,7544,7148,6253,4699,4835,4932,4333,5265,6445,5694,5297,4591,3563,2351,3/1/2024
501,20240301,S,1345,919,780,661,1231,3654,7418,8601,7879,7035,7582,8012,8280,7503,8065,8409,8156,7416,7388,7097,5423,5013,4628,3136,3/1/2024
501,20240302,P,1528,1085,834,679,750,1995,3215,4200,5817,7358,7407,7640,7031,7175,6544,7071,4088,4783,5693,5719,5180,4588,3616,3557,3/2/2024
501,20240302,S,2144,1689,1395,763,788,1294,2742,4719,6117,7183,8084,8385,8391,8444,8510,8243,8114,8021,7766,7106,5652,6201,5619,3496,3/2/2024
501,20240303,P,1766,1236,934,638,657,1272,2108,2653,3854,5775,7052,7564,7863,7829,6325,6036,6812,5812,6343,5692,4077,2896,1924,1359,3/3/2024
