DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/11/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,46,1,Good
2/11/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,54,2,Moderate
2/11/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,12,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/12/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,46,1,Good
2/12/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,43,1,Good
2/12/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,22,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/13/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,46,1,Good
2/13/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,31,1,Good
2/13/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,27,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/14/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,46,1,Good
2/14/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,44,1,Good
2/14/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,20,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/15/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,48,1,Good
2/15/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,71,2,Moderate
2/15/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,28,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/16/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,47,1,Good
2/16/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,46,1,Good
2/16/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,7,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/17/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,47,1,Good
2/17/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,55,2,Moderate
2/17/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,15,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/18/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,51,2,Moderate
2/18/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,50,1,Good
2/18/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,16,1,Good
