COUNTDATE,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,DAY_OF_WEEK,WEEKEND
2024-05-28,1865,1174,898,1201,2727,8803,13915,16146,15675,15094,14087,14043,14098,14106,13507,13054,11498,12780,13795,11481,10228,9507,6459,3609,2,0
2024-05-29,2028,1272,1046,1249,2809,9054,15922,16527,15587,14569,13197,14195,14464,14168,14455,13684,12840,12040,13521,12209,10488,9877,6423,3781,3,0
2024-05-30,2250,1384,1115,1382,2652,8864,15686,16097,15762,14503,13448,14695,14394,13848,13484,13152,12544,12828,13967,12672,11399,9584,7161,4269,4,0
2024-05-31,2361,1720,1319,1362,2608,7741,14804,16426,15245,14769,14510,14296,14685,14013,13651,12642,11226,12740,14422,13729,11746,10899,9910,8397,5,0
2024-06-01,4592,3041,2479,1605,1848,3600,7129,10372,12717,14573,15484,15532,14945,14724,14374,14103,15053,15741,15754,13685,12464,11358,11319,8593,6,1
2024-06-02,5509,3579,3137,1663,1514,2288,4029,6442,9124,12509,14168,13464,14660,15236,13846,13649,15543,15210,13509,11519,9809,7953,5795,3798,7,1
2024-06-03,2199,1408,1102,1252,2742,8433,15902,15779,15414,12971,13319,13639,13810,14650,14980,13560,12367,13931,14013,11224,9165,8708,5188,3330,1,0
2024-06-04,1780,1212,1009,1257,2652,9032,16062,16517,15200,15028,14435,14562,14176,14209,13901,13208,12931,12784,14219,12412,10795,10026,5922,3942,2,0
2024-06-05,2254,1262,1009,1234,2799,8858,15640,16045,15460,14243,13582,13550,12836,12712,13239,13011,10784,11294,10848,11680,10665,10740,8206,4222,3,0
2024-06-06,2384,1394,1213,1335,2635,9099,15673,16330,15858,14625,13586,12906,13441,13484,13370,11903,10465,10961,13310,12246,11354,10075,7428,4599,4,0
2024-06-07,2454,1658,1305,1435,2609,8170,14840,15590,15345,14507,13952,14398,13820,14172,13676,13417,13140,13437,14320,13516,11623,10633,8859,6871,5,0
2024-06-08,4483,3128,2320,1523,1869,3478,6725,9803,12407,14152,15183,12740,11981,13300,14848,15188,12662,11896,15228,13424,11582,10889,9869,8200,6,1
2024-06-09,4872,3430,2748,1673,1535,2458,4243,6353,9300,12853,14705,15501,15227,15082,15239,15956,15449,15381,13191,11247,9873,7973,5596,4752,7,1
2024-06-10,2177,1418,1181,1315,2832,8760,15414,16203,15137,14978,13976,14210,14024,13835,14015,13081,12585,12634,13114,10646,9053,7365,4881,2835,1,0
2024-06-11,1705,1153,1058,1208,2748,9112,16005,16501,15837,15538,15149,14791,13889,14056,13619,11901,10924,11015,14064,12108,10737,8625,5917,3526,2,0
2024-06-12,1902,1231,981,1251,2798,9420,15878,16457,15417,15464,14659,14307,13880,13746,13752,12256,12158,12697,14248,12740,10891,9530,6554,4087,3,0
